"","scrubbed_genus","scrubbed_species_binomial","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","observation_type"
"312","Oryza","Oryza rufipogon",-15.416667,145.15,1970-05-14,"GBIF","MEL","MEL","MEL","MEL",4601,"specimen"
"313","Oryza","Oryza rufipogon",-19.25,146.7667,2000-04-12,"GBIF","JCT","JCT","JCT","JCT",4509,"specimen"
"314","Oryza","Oryza barthii",12.45,-12.25,1995-10-19,"GBIF","AAU","AAU","AAU","Herbarium",4161,"specimen"
"315","Oryza","Oryza longistaminata",-24.625,28.625,1984-03-08,"GBIF","SANBI","SANBI","SANBI","PRECIS",3318,"specimen"
"316","Oryza","Oryza rufipogon",24.935278,121.2775,1961-12-21,"GBIF","TAI","TAI","TAI","TAI019236",4812,"specimen"
"317","Oryza","Oryza latifolia",-2.733333,-55.17,1945-12-07,"GBIF","Instituto Nacional de Pesquisas da Amazônia (INPA)","Instituto Nacional de Pesquisas da Amazônia (INPA)","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",2483,"specimen"
"318","Oryza","Oryza latifolia",10.45,-85.133333,1997-04-23,"GBIF","INBio","INBio","INBio","Plantae",3400,"specimen"
"319","Oryza","Oryza longistaminata",-24.625,28.625,1919-04-19,"GBIF","SANBI","SANBI","SANBI","PRECIS",3318,"specimen"
"320","Oryza","Oryza rufipogon",-14.583333,144.116667,1987-05-06,"GBIF","NE","NE","NE","NE",4654,"specimen"
"321","Oryza","Oryza barthii",12.76667,-14.76667,1967-09-21,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"322","Oryza","Oryza rufipogon",-15.43,145.17,1976-05-21,"GBIF","NSW","NSW","NSW","NSW",4672,"specimen"
"323","Oryza","Oryza rufipogon",-15.3,144.45,1986-05-31,"GBIF","CANB","CANB","CANB","CANB",4277,"specimen"
"324","Oryza","Oryza rufipogon",-15.42066,143.60309,2015-07-16,"GBIF","NSW","NSW","NSW","NSW",4672,"specimen"
"325","Oryza","Oryza latifolia",18.0125,-91.196389,1983-02-17,"GBIF","CICY","CICY","CICY","CICY",4299,"specimen"
"326","Oryza","Oryza latifolia",10.899111,-85.649605,2003-08-16,"GBIF","INBio","INBio","INBio","Plantae",3400,"specimen"
"327","Oryza","Oryza rufipogon",-14.83,144.15,1987-08-03,"GBIF","NSW","NSW","NSW","NSW",4672,"specimen"
"328","Oryza","Oryza rufipogon",-16.9267,145.3564,2018-05-02,"GBIF","CNS","CNS","CNS","CNS",4311,"specimen"
"329","Oryza","Oryza rufipogon",-13.484722,142.328889,2007-09-11,"GBIF","DNA","DNA","DNA","DNA",4352,"specimen"
"330","Oryza","Oryza rufipogon",-15.538476,144.458893,2001-04-25,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"331","Oryza","Oryza rufipogon",-14.58,144.12,1987-05-06,"GBIF","NSW","NSW","NSW","NSW",4672,"specimen"
"332","Oryza","Oryza rufipogon",22.402627,107.357948,1979-01-01,"GBIF","IBK","IBK","IBK",NA,4483,"specimen"
"333","Oryza","Oryza latifolia",19.208333,-103.725,NA,"GBIF","IB-CUCBA-UDG","IB-CUCBA-UDG","IB-CUCBA-UDG","IBUG",3635,"specimen"
"334","Oryza","Oryza rufipogon",-14.398333,143.724167,2015-06-09,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"335","Oryza","Oryza latifolia",18.947222,-91.134722,1984-11-08,"GBIF","CICY","CICY","CICY","CICY",4299,"specimen"
"336","Oryza","Oryza rufipogon",-16.449045,143.485483,2004-04-16,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"337","Oryza","Oryza longistaminata",12.513932,7.611422,1957-10-01,"GBIF","Forest Herbarium Ibadan (FHI)","Forest Herbarium Ibadan (FHI)","Forest Herbarium Ibadan (FHI)",NA,3785,"specimen"
"338","Oryza","Oryza latifolia",10.45,-85.133333,1997-12-17,"GBIF","INBio","INBio","INBio","Plantae",3400,"specimen"
"339","Oryza","Oryza rufipogon",-16.1728,142.6386,2003-06-16,"GBIF","CNS","CNS","CNS","CNS",4311,"specimen"
"340","Oryza","Oryza longistaminata",0.32279,32.58499,1936-12-01,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"341","Oryza","Oryza rufipogon",-14.556815,143.909451,1992-04-07,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"342","Oryza","Oryza rufipogon",-15.335556,144.436667,2011-05-12,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"343","Oryza","Oryza grandiglumis",-15.045555,-60.026111,2014-03-25,"GBIF","JBRJ","JBRJ","JBRJ","RB",3364,"specimen"
"344","Oryza","Oryza latifolia",-1.5,-53,1961-07-24,"GBIF","JBRJ","JBRJ","JBRJ","RB",3364,"specimen"
"345","Oryza","Oryza rufipogon",-14.826111,143.519444,2008-06-15,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"346","Oryza","Oryza latifolia",-25.5,-57.5,NA,"GBIF","G","G","G","Geneva Herbarium – General Collection (G)",4405,"specimen"
"347","Oryza","Oryza rufipogon",-14.813361,143.339139,2009-08-10,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"348","Oryza","Oryza rufipogon",-16.6319,145.317547,1995-05-20,"GBIF","CNS","CNS","CNS","MBA",4311,"specimen"
"349","Oryza","Oryza longistaminata",-24.625,28.625,1973-02-28,"GBIF","SANBI","SANBI","SANBI","PRECIS",3318,"specimen"
"350","Oryza","Oryza rufipogon",-14.756778,144.121111,2009-08-11,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"351","Oryza","Oryza rufipogon",-7.3,141.1167,1967-10-03,"GBIF","CANB","CANB","CANB","CANB",4277,"specimen"
"352","Oryza","Oryza latifolia",-1.5,-53,1961-07-24,"SpeciesLink","JBRJ","JBRJ","JBRJ","JBRJ_RB",238,"specimen"
"353","Oryza","Oryza latifolia",-24,-59,NA,"GBIF","G","G","G","Geneva Herbarium – General Collection (G)",4405,"specimen"
"354","Oryza","Oryza rufipogon",-19.231667,146.763056,2010-06-18,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"355","Oryza","Oryza latifolia",-20.05,-60.68333,1988-05-13,"GBIF","G","G","G","Geneva Herbarium – General Collection (G)",4405,"specimen"
"356","Oryza","Oryza rufipogon",-14.813361,143.505806,2009-08-10,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"357","Oryza","Oryza rufipogon",-15.773493,141.476145,1992-05-22,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"358","Oryza","Oryza rufipogon",-16.969028,145.326833,2009-08-07,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"359","Oryza","Oryza latifolia",11.15,-85.78333,1977-09-11,"MO","MO","MO","MO",NA,267,"specimen"
"360","Oryza","Oryza eichingeri",-8.35,38.93333,1990-01-31,"MO",NA,NA,NA,NA,267,"specimen"
"361","Oryza","Oryza rufipogon",-16.969028,145.326833,2009-08-07,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"362","Oryza","Oryza rufipogon",-19.2167,146.75,2010-07-02,"GBIF","JCT","JCT","JCT","JCT",4509,"specimen"
"363","Oryza","Oryza latifolia",-4.81666,-52.51666,1985-11-06,"MO","MO","MO","MO",NA,267,"specimen"
"364","Oryza","Oryza rufipogon",-19.525719,147.196931,2017-05-17,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"365","Oryza","Oryza rufipogon",-14.9333,144.2,1987-05-06,"GBIF","CNS","CNS","CNS","QRS",4311,"specimen"
"366","Oryza","Oryza latifolia",18.833333,-91,1984-11-08,"GBIF","INECOL","INECOL","INECOL","XAL",616,"specimen"
"367","Oryza","Oryza latifolia",-17.66666,-62.81666,1994-12-11,"MO","MO, NY","MO, NY","MO, NY",NA,267,"specimen"
"368","Oryza","Oryza rufipogon",-15.690139,145.126104,1994-04-29,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"369","Oryza","Oryza longistaminata",-24.625,28.625,1949-02-19,"GBIF","SANBI","SANBI","SANBI","PRECIS",3318,"specimen"
